"Unique ID","Street address","City","State","ZIP"
15601302,"34400 MISSION BLVD.","UNION CITY","CA",94587
216801686,"326 MISSION AVENUE","SAN RAFAEL","CA",94901
330907913,"17050 ARNOLD DRIVE","RIVERSIDE","CA",92518
197802543,"214 SOUTH ATLANTIC BLVD.","ALHAMBRA","CA",91801
421700369,"636 N ATTERDAG ROAD","SOLVANG","CA",93463
191501662,"2705 MOUNTAIN VIEW DRIVE","LA VERNE","CA",91750
191501668,"647 MANZANITA AVE","SIERRA MADRE","CA",91024
565801963,"6000 SANTA ROSA ROAD","CAMARILLO","CA",93012
374603618,"3140 EL CAMINO REAL","CARLSBAD","CA",92008
374603617,"13101 HARTFIELD AVENUE","SAN DIEGO","CA",92130
496803519,"300 FOUNTAINGROVE PARKWAY","SANTA ROSA","CA",95403
197608720,"17650 WEST DEVONSHIRE STREET","NORTHRIDGE","CA",91325
336426512,"77201 COUNTRY CLUB DR.","RANCHO MIRAGE","CA",92270
157203395,"350 CALLOWAY DRIVE","BAKERSFIELD","CA",93312
198601907,"1740 SAN DIMAS AVENUE","SAN DIMAS","CA",91773
306004721,"31741 RANCHO VIEJO ROAD","SAN JUAN CAPISTRANO","CA",92675
306004693,"17803 IMPERIAL HIGHWAY","YORBA LINDA","CA",92886
270708224,"651 SINEX AVENUE","PACIFIC GROVE","CA",93950
191603774,"5801 WEST CRESTRIDGE ROAD","RANCHO PALOS VERDES","CA",90274
306004555,"460 LA FLORESTA DRIVE","BREA","CA",92821
15601222,"2431 MARINER SQUARE DRIVE","ALAMEDA","CA",94501
385600359,"1450 POST ST","SAN FRANCISCO","CA",94109
374600799,"2855 CARLSBAD BLVD.","CARLSBAD","CA",92008
270700110,"8545 CARMEL VALLEY ROAD","CARMEL","CA",93923
405800142,"1405 TERESA DRIVE","MORRO BAY","CA",93442
374600488,"18655 WEST BERNARDO DRIVE","SAN DIEGO","CA",92127
421700160,"300 HOT SPRINGS RD.","SANTA BARBARA","CA",93108
430700136,"850 WEBSTER STREET","PALO ALTO","CA",94301
197802724,"650 W. HARRISON AVE.","CLAREMONT","CA",91711
45001619,"55 CONCORDIA LANE","OROVILLE","CA",95966
500301453,"2125 N OLIVE","TURLOCK","CA",95382
306002255,"3 PURSUIT","ALISO VIEJO","CA",92656
565801946,"6000 SANTA ROSA ROAD","CAMARILLO","CA",91320
565801761,"6000 SANTA ROSA ROAD","CAMARILLO","CA",91320
374602800,"3140 EL CAMINO REAL","CARLSBAD","CA",92008
374602801,"13101 HARTFIELD AVE","SAN DIEGO","CA",92130
197608196,"17650 WEST DEVONSHIRE STREET","NORTHRIDGE","CA",91325
336425269,"72201 COUNTRY CLUB DRIVE","RANCHO MIRAGE","CA",92270
197607627,"1740 SAN DIMAS AVENUE","SAN DIMAS","CA",91773
306004022,"31741 RANCHO VIEJO ROAD","SAN JUAN CAPISTRANO","CA",92675
496803330,"300 FOUNTAINGROVE PARKWAY","SANTA ROSA","CA",95403
306004316,"17803 IMPERIAL HIGHWAY","YORBA LINDA","CA",92886
340313383,"3939 WALNUT AVENUE","CARMICHAEL","CA",95608
270700245,"551 GIBSON AVENUE","PACIFIC GROVE","CA",93950
435200344,"23500 CRISTO REY DRIVE","CUPERTINO","CA",95014
496803440,"4210 THOMAS LAKE HARRIS DRIVE","SANTA ROSA","CA",95403
336410693,"41-505 CARLOTTA DRIVE","PALM DESERT","CA",92211
336426769,"41505 CARLOTTA DR.","PALM DESERT","CA",92211
197607880,"6440 WILBUR AVENUE","RESEDA","CA",91335
300606831,"23442 EL TORO ROAD","LAKE FOREST","CA",92630
496801929,"684 BENICIA DRIVE","SANTA ROSA","CA",95409
374603600,"POMERADO RD","SAN DIEGO","CA",92131
11400246,"401 SANTA CLARA AVENUE","OAKLAND","CA",94610
380500295,"3400 LAGUNA ST.","SAN FRANCISCO","CA",94123
191800001,"573 S. BOYLE AVE","LOS ANGELES","CA",90033
360902944,"1950 SOUTH MOUNTAIN AVENUE","ONTARIO","CA",91762
374600637,"1950 SILVERLEAF CIRCLE","CARLSBAD","CA",92009
11400369,"1850 ALICE","OAKLAND","CA",94612
435200941,"2671 PLUMMER AVENUE","SAN JOSE","CA",95125
430700382,"110 WOOD ROAD","LOS GATOS","CA",95030
191501682,"700 NORTH STONEMAN AVENUE","ALHAMBRA","CA",91801
11440129,"34400 MISSION BLVD.","UNION CITY","CA",94587
191592287,"1650 EAST OLD BADILLO ST","COVINA","CA",91724
374603081,"100 HOLLAND GLEN","ESCONDIDO","CA",92026
286803132,"2000 ATRIUM PARKWAY","NAPA","CA",94559
286801070,"1800 ATRIUM PARKWAY","NAPA","CA",94559
15600255,"3431 FOOTHILL BOULEVARD","OAKLAND","CA",94601
435294340,"899 EAST CHARLESTON ROAD","PALO ALTO","CA",94303
191222411,"2889 SAN PASQUAL STREET","PASADENA","CA",91107
197608908,"2212 EL MOLINO","ALTADENA","CA",91001
300613273,"800 MORNINGSIDE DR.","FULLERTON","CA",92835
370800394,"325 KEMPTON STREET","SPRING VALLEY","CA",91977
191500496,"900 EAST HARRISON AVENUE","POMONA","CA",91767
390314809,"3334 WAGNER HEIGHTS ROAD","STOCKTON","CA",95209
100404809,"703 WEST HERBERT AVENUE","REEDLEY","CA",93654
486800368,"2600 ESTATES DRIVE","FAIRFIELD","CA",94533
374601395,"2575 E. EIGHTH STREET","NATIONAL CITY","CA",91950
410508359,"1 BALDWIN AVENUE","SAN MATEO","CA",94401
11400514,"110-41ST STREET","OAKLAND","CA",94611
197607628,"625 MAYFLOWER ROAD","CLAREMONT","CA",91711
360904812,"900 SALEM DRIVE","REDLANDS","CA",92373
306004626,"12151 DALE STREET","STANTON","CA",90680
306005180,"28805 REATA ROAD","ORANGE","CA",92675
374600566,"710 WEST 13TH AVENUE","ESCONDIDO","CA",92025
300603257,"19191 HARVARD AVENUE","IRVINE","CA",92612
150400536,"1301 NEW STINE ROAD","BAKERSFIELD","CA",93309
300600816,"12151 DALE STREET","STANTON","CA",90680
191502216,"1763 ROYAL OAKS DRIVE","DUARTE","CA",91010
15600254,"2361 EAST 29TH STREET","OAKLAND","CA",94606
421702848,"2550 TREASURE DRIVE","SANTA BARBARA","CA",93105
380540292,"1661 PINE STREET","SAN FRANCISCO","CA",94109
435201057,"14500 FRUITVALE AVENUE","SARATOGA","CA",95070
336424396,"39905 VIA SCENA","PALM DESERT","CA",92260
306000889,"16850 E. BASTANCHURY ROAD","YORBA LINDA","CA",92886
410500567,"501 PORTOLA ROAD","PORTOLA VALLEY","CA",94028
380500593,"1400 GEARY BLVD","SAN FRANCISCO","CA",94109
100406684,"1155 E. SPRINGFIELD","REEDLEY","CA",93654
191802082,"2236 MERTON AVENUE","LOS ANGELES","CA",90041
490107656,"5555 MONTGOMERY DRIVE","SANTA ROSA","CA",95409
